objid,n_sources,grade,thetaE,thetaE_err,mag_g,mag_r,mag_i,mag_z,g_exp_time,g_mag_zero,r_exp_time,r_mag_zero,i_exp_time,i_mag_zero,z_exp_time,z_mag_zero
10640100073069.0,1,B,1.9599350238061344,0.3283184627391818,21.852295,20.301512,19.956436,19.64902,110.0,31.562773,57.0,31.09013,60.0,31.215439,198.0,32.14039
10664900066879.0,1,B,2.633105234680772,0.3724405882406385,19.425228,19.016113,18.792141,18.655167,82.0,31.27201,40.0,30.694992,117.0,31.89999,85.0,31.25547
10742500029259.0,2,C,1.5698041100176925,0.2952137764067368,20.233913,19.172882,18.893967,18.649084,90.0,31.54958,31.0,30.506931,90.0,31.652878,62.0,31.074371
10780400000664.0,1,A,2.104553237929365,0.3371513062599487,20.742176,19.409952,19.034761,18.69269,90.0,31.567417,30.0,30.456715,66.0,31.27683,90.0,31.230112
10666400013747.0,5,B,2.810619311871074,0.9509985114848072,21.114098,19.657778,18.627285,18.087208,113.0,31.642284,44.0,30.83688,80.0,31.469814,100.0,31.527664
10999900103905.0,1,C,3.87845760954232,0.4688324799863671,20.944223,19.637186,19.21385,18.819021,90.0,31.549286,150.0,32.25926,90.0,31.659597,90.0,31.238377
10781900136329.0,1,C,2.730252655904445,0.3793710000128275,20.4203,19.348568,18.86333,18.579195,300.0,32.74408,62.0,31.315989,146.0,32.142715,56.0,30.839989
10997100256311.0,1,C,2.5770237869716484,0.3684970501729654,21.858017,20.458378,20.009148,19.418701,90.0,31.568031,240.0,32.80385,180.0,32.444138,90.0,31.272568
10692700168934.0,1,B,2.347788516486057,0.3528465235501662,20.348282,19.298927,19.093561,18.801048,267.0,32.631763,267.0,32.835094,90.0,31.703144,267.0,32.523567
10703100089176.0,4,C,4.02908909158738,0.3547679122788382,19.201328,17.951416000000002,17.58738,17.368357,174.0,32.266636,90.0,31.579334,90.0,31.64946,80.0,31.163857
11061600054793.0,1,C,2.098282437631617,0.3367602290662198,20.219337,19.928934,19.404066,19.081524,100.0,31.61385,100.0,31.858158,90.0,31.654581,90.0,31.20942
10959100226821.0,1,C,2.4164989133726813,0.3574552139545785,21.933956,20.281527,19.217697,18.694725,90.0,31.493256,90.0,31.666855,150.0,32.12571,60.0,30.859362
10997900014606.0,2,B,2.736433546185532,0.3403162266336563,20.021622,19.070211,18.77567,18.62274,90.0,31.490475,90.0,31.679432,90.0,31.599295,90.0,31.392155
10679600098705.0,2,C,1.9505512496342767,0.3441766336572655,19.85847,18.941257,18.606426000000003,18.567970000000003,200.0,31.872208,40.0,30.80455,90.0,31.651608,95.0,31.324589
10716600029435.0,1,C,2.445603442281601,0.3594291612668568,18.688862,17.90235,17.655363,17.450207000000002,93.0,31.43014,47.0,30.896437,90.0,31.660961,120.0,31.666355
10934600133025.0,2,C,2.3743736994903903,0.2697239256579123,20.634186,19.461594,19.214737,18.873096,267.0,32.745953,267.0,32.83697,333.0,33.061264,333.0,32.773575
10715200205681.0,1,B,1.446895276330258,0.3005239082114235,21.793894,20.403727,19.043041,18.367247,300.0,32.855324,200.0,32.497276,250.0,32.602745,150.0,31.946884
11000500377561.0,3,C,2.8371704494279077,0.4498167357125163,21.666912,20.68679,20.70621,20.418154,96.0,31.709919,30.0,30.586523,70.0,31.123684,30.0,30.282373
10650800013421.0,1,A,1.935626777422947,0.3268731714515087,20.869816,19.519447,18.989628,18.477276,119.0,31.646082,44.0,30.778568,90.0,31.675987,199.0,32.160583
